"Estación","Provincia","Temperatura máxima (ºC)","Temperatura mínima (ºC)","Temperatura media (ºC)","Racha (km/h)","Velocidad máxima (km/h)","Precipitación 00-24h (mm)","Precipitación 00-06h (mm)","Precipitación 06-12h (mm)","Precipitación 12-18h (mm)","Precipitación 18-24h (mm)"
"Alforja","Tarragona","16.0 (15:30)","3.1 (23:50)","9.5","36 (10:20)","20 (10:50)","0","0","0","0","0"
"Reus Aeropuerto","Tarragona","18.3 (14:50)","-1.0 (08:00)","8.6","17 (14:20)","13 (20:40)","0","0","0","0","0"
"Valls","Tarragona","17.4 (14:00)","0.9 (00:00)","9.1","","","0","0","0","0","0"
"Tarragona","Tarragona","16.8 (13:20)","5.1 (07:50)","10.9","","","0","0","0","0","0"
"Pontons","Barcelona","16.1 (16:10)","6.0 (18:50)","11.1","21 (23:59)","15 (16:40)","0","0","0","0","0"
"Vilafranca del Penedès","Barcelona","17.6 (15:00)","-1.4 (06:00)","8.1","20 (15:10)","13 (16:00)","0","0","0","0","0"
"Sitges","Barcelona","15.5 (14:00)","3.9 (03:20)","9.7","22 (06:00)","8 (12:30)","0","0","0","0","0"
"Barcelona Aeropuerto","Barcelona","15.7 (13:10)","4.3 (08:20)","10","39 (09:00)","28 (04:30)","0","0","0","0","0"
"Berga","Barcelona","14.2 (15:10)","-0.5 (08:40)","6.8","19 (23:50)","13 (05:50)","0","0","0","0","0"
"Balsareny","Barcelona","15.5 (15:50)","-6.0 (08:10)","4.8","14 (16:40)","10 (16:40)","0","0","0","0","0"
"Prats de Lluçanès","Barcelona","15.0 (15:10)","-3.5 (08:20)","5.8","13 (14:30)","6 (00:40)","0","0","0","0","0"
"Moià","Barcelona","14.6 (12:50)","3.0 (07:20)","8.8","17 (16:20)","11 (16:30)","0","0","0","0","0"
"Manresa","Barcelona","15.4 (17:20)","-3.7 (09:10)","5.8","19 (18:40)","9 (20:00)","0","0","0","0","0"
"Monistrol de Montserrat","Barcelona","12.0 (14:20)","5.9 (04:50)","9","","","0","0","0","0","0"
"Igualada","Barcelona","14.0 (15:10)","-1.1 (05:20)","6.4","19 (16:00)","7 (15:50)","0","0","0","0","0"
"Corbera, Pic d'Agulles","Barcelona","13.6 (15:00)","5.4 (07:50)","9.5","","","0","0","0","0","0"
"Barcelona","Barcelona","14.7 (15:00)","4.4 (07:30)","9.5","21 (07:40)","17 (07:40)","0","0","0","0","0"
"Barcelona, Museo Marítimo","Barcelona","14.9 (15:40)","5.9 (06:50)","10.4","","","0","0","0","0","0"
"Caldes de Montbui","Barcelona","16.5 (15:10)","-2.2 (07:00)","7.1","16 (16:40)","13 (16:40)","0","0","0","0","0"
"Vilassar de Dalt","Barcelona","14.7 (14:30)","6.1 (03:50)","10.4","18 (11:40)","11 (11:40)","0","0","0","0","0"
"Arenys de Mar","Barcelona","16.4 (12:00)","4.2 (04:10)","10.3","16 (08:50)","8 (06:50)","0","0","0","0","0"
"Santa Susanna","Barcelona","","","","","","","","","",""
"Fogars de Montclús","Barcelona","14.8 (13:30)","4.8 (07:50)","9.8","","","0","0","0","0","0"
"Blanes","Girona","15.4 (12:20)","7.9 (07:20)","11.6","24 (23:40)","16 (00:40)","0","0","0","0","0"
"Castell, Platja d'Aro","Girona","14.1 (13:40)","0.4 (07:20)","7.3","18 (08:20)","11 (02:20)","0","0","0","0","0"
