"Estación","Provincia","Temperatura máxima (ºC)","Temperatura mínima (ºC)","Temperatura media (ºC)","Racha (km/h)","Velocidad máxima (km/h)","Precipitación 00-24h (mm)","Precipitación 00-06h (mm)","Precipitación 06-12h (mm)","Precipitación 12-18h (mm)","Precipitación 18-24h (mm)"
"Beasain","Gipuzkoa","13.5 (16:00)","2.3 (04:00)","7.9","12 (14:40)","6 (14:40)","0","0","0","0","0"
"Ordizia","Gipuzkoa","11.8 (15:40)","2.6 (23:59)","7.2","13 (14:10)","8 (16:40)","0","0","0","0","0"
"Areso","Navarra","12.0 (15:40)","0.6 (09:40)","6.3","9 (16:10)","5 (13:20)","0","0","0","0","0"
"Legazpia","Gipuzkoa","11.2 (16:30)","0.1 (04:50)","5.6","","","0","0","0","0","0"
"Zumarraga","Gipuzkoa","9.2 (15:50)","0.8 (23:30)","5","9 (13:30)","5 (16:20)","","","","",""
"Azpeitia","Gipuzkoa","10.7 (14:20)","1.8 (05:10)","6.2","18 (16:50)","7 (16:50)","0","0","0","0","0"
"Zumaia","Gipuzkoa","9.8 (11:40)","2.9 (07:00)","6.4","24 (12:40)","16 (12:50)","0","0","0","0","0"
"Aramaio","Araba/Álava","11.0 (15:20)","0.1 (03:30)","5.6","","","0","0","0","0","0"
"Aretxabaleta","Gipuzkoa","10.9 (15:00)","0.1 (23:59)","5.5","","","0","0","0","0","0"
"Elgeta","Gipuzkoa","","","","","","","","","",""
"Elgoibar","Gipuzkoa","10.5 (14:30)","1.8 (08:00)","6.1","22 (11:20)","10 (17:00)","0","0","0","0","0"
"Mutriku","Gipuzkoa","8.7 (12:10)","4.7 (23:10)","6.7","15 (12:20)","8 (12:20)","0","0","0","0","0"
"Forua","Bizkaia","11.2 (13:40)","4.4 (06:40)","7.8","22 (13:10)","13 (16:40)","0","0","0","0","0"
"Machichaco","Bizkaia","8.0 (12:10)","5.5 (22:30)","6.8","37 (17:10)","28 (17:20)","0","0","0","0","0"
